total_reward,root_cause_accuracy,process_quality,damage_audit,boss_score,primary_reward,buddy_reward,scenario_type,difficulty,parse_error,raw_completion_head,episode,trainer_step,reward_ma20,parseable
0.3195,0.0,0.725,1.0,0.2995,0.3245,0.2745,memory_leak,easy,,,0,0,0.3195,True
0.3195,0.0,0.725,1.0,0.2995,0.3245,0.2745,memory_leak,easy,,,1,0,0.3195,True
0.3195,0.0,0.725,1.0,0.2995,0.3245,0.2745,memory_leak,easy,,,2,0,0.3195,True
0.35450000000000004,0.0,0.725,1.0,0.3345,0.3595,0.3095,memory_leak,easy,,,3,0,0.32825000000000004,True
0.3195,0.0,0.725,1.0,0.2995,0.3245,0.2745,memory_leak,easy,,,4,1,0.3265,True
0.3195,0.0,0.725,1.0,0.2995,0.3245,0.2745,memory_leak,easy,,,5,1,0.3253333333333333,True
0.3195,0.0,0.725,1.0,0.2995,0.3245,0.2745,memory_leak,easy,,,6,1,0.3245,True
0.35450000000000004,0.0,0.725,1.0,0.3345,0.3595,0.3095,memory_leak,easy,,,7,1,0.32825000000000004,True
0.3195,0.0,0.725,1.0,0.2995,0.3245,0.2745,memory_leak,easy,,,8,2,0.3272777777777778,True
0.3195,0.0,0.725,1.0,0.2995,0.3245,0.2745,memory_leak,easy,,,9,2,0.3265,True
0.3195,0.0,0.725,1.0,0.2995,0.3245,0.2745,memory_leak,easy,,,10,2,0.3258636363636364,True
0.3195,0.0,0.725,1.0,0.2995,0.3245,0.2745,memory_leak,easy,,,11,2,0.3253333333333333,True
0.3195,0.0,0.725,1.0,0.2995,0.3245,0.2745,memory_leak,easy,,,12,3,0.32488461538461544,True
0.3195,0.0,0.725,1.0,0.2995,0.3245,0.2745,memory_leak,easy,,,13,3,0.3245,True
0.5395,0.0,0.725,1.0,0.5195,0.5445,0.4945,connection_pool_exhaustion,medium,,,14,3,0.3388333333333334,True
0.5395,0.0,0.725,1.0,0.5195,0.5445,0.4945,connection_pool_exhaustion,medium,,,15,3,0.351375,True
0.5395,0.0,0.725,1.0,0.5195,0.5445,0.4945,connection_pool_exhaustion,medium,,,16,4,0.36244117647058827,True
0.5395,0.0,0.725,1.0,0.5195,0.5445,0.4945,connection_pool_exhaustion,medium,,,17,4,0.3722777777777778,True
0.5700000000000001,0.0,0.725,1.0,0.7033,0.7283,0.6783,config_drift,hard,,,18,4,0.3826842105263158,True
0.5700000000000001,0.0,0.725,1.0,0.7033,0.7283,0.6783,config_drift,hard,,,19,4,0.39205,True
0.3195,0.0,0.725,1.0,0.2995,0.3245,0.2745,memory_leak,easy,,,20,5,0.39205,True
0.3195,0.0,0.725,1.0,0.2995,0.3245,0.2745,memory_leak,easy,,,21,5,0.39205,True
0.5395,0.0,0.725,1.0,0.5195,0.5445,0.4945,connection_pool_exhaustion,medium,,,22,5,0.40305,True
0.5395,0.0,0.725,1.0,0.5195,0.5445,0.4945,connection_pool_exhaustion,medium,,,23,5,0.4123,True
